,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
31410,0,0,1,0.0,0.0,A1FM5YOSVQXQ98
31409,0,0,1,0.0,0.0,A29TDHNT47LR05
31408,1,1,1,1.0,1.0,APH4EG6DRPMCT
102,1,1,1,1.0,1.0,A3G7LE2GVWO2ZF
31407,0,0,1,0.0,0.0,AGWURWZUCZDJ9
31406,1,1,1,1.0,1.0,A21HD9GWN5OHDZ
31405,1,1,1,1.0,1.0,A3HKBJKFIRM5WK
31404,1,1,1,1.0,1.0,A4M667JJMIEXP
31327,1,1,1,1.0,1.0,ASMF7OU99H1RI
31326,1,1,1,1.0,1.0,A3NVX0XHGOW059
31325,0,0,1,0.0,0.0,ABVILSOSZLCYU
191,1,1,1,1.0,1.0,A31TFZQ4W1JULV
31240,0,0,1,0.0,0.0,A1J38585WHJN6K
31821,1,1,1,1.0,1.0,A3NR6C9G6WM3FV
31239,1,1,1,1.0,1.0,ASTUHXSIZ727F
31238,1,1,1,1.0,1.0,A12B6JU12B37N6
31237,1,1,1,1.0,1.0,A2JFDCLA9PZGQ0
31822,1,1,1,1.0,1.0,A174QOLWVCTH3H
31236,0,0,1,0.0,0.0,AAUT2ZCRMTT8H
31823,1,1,1,1.0,1.0,AN87P9433INVO
31259,0,1,1,0.0,1.0,A12LMA9CS276T0
31233,1,1,1,1.0,1.0,A15ALQJ9HBTW8N
31232,1,1,1,1.0,1.0,A35ADTZLTFTGCH
31231,1,1,1,1.0,1.0,A2ZIXAHXA67GF3
31230,1,1,1,1.0,1.0,A10HBQ127ZIOQ9
31229,1,1,1,1.0,1.0,A3RDEKDBBIP8GO
31228,1,1,1,1.0,1.0,A10MKB9YS5FNSN
31227,0,0,1,0.0,0.0,A3NRIB6U1ZABZR
31241,0,0,1,0.0,0.0,A3UCJZLWUNYY5M
31242,1,1,1,1.0,1.0,ASRIOCTQPKK1B
31820,0,0,1,0.0,0.0,A2T5X2XU38JAX4
31243,0,0,1,0.0,0.0,A3GF6PSTPD0YXQ
31257,0,1,1,0.0,1.0,AKN6RCE4N29HJ
31256,0,0,1,0.0,0.0,A2SM3T1RZ7UOO
31255,0,1,1,0.0,1.0,A2Z53YSQ0S6GT6
31254,1,1,1,1.0,1.0,A2ZF27T08HJJ7S
31253,1,1,1,1.0,1.0,A1KA7URW71YPQS
31252,0,1,1,0.0,1.0,AMCISVGFXKM1A
31251,1,1,1,1.0,1.0,AFV7N9MP24UNM
31250,0,0,1,0.0,0.0,A1NJU6O6TRWDN1
31249,0,0,1,0.0,0.0,A1W6NM7XE8RMNW
31248,1,1,1,1.0,1.0,A3FWGSENMPP97I
31247,1,1,1,1.0,1.0,A14D8NCZ2IDB43
31819,1,1,1,1.0,1.0,A76L809BRBNB1
31246,1,1,1,1.0,1.0,A8ZOAYFYH4Y7N
188,1,1,1,1.0,1.0,A1T510KTP7SMKN
189,0,0,1,0.0,0.0,AZLEASX3WQDDV
31226,0,0,1,0.0,0.0,A2Y2JFQKSZVOVK
31225,0,1,1,0.0,1.0,A2WJWCH89A9MSC
31224,0,1,1,0.0,1.0,AFK19OOLZS4ED
31827,1,1,1,1.0,1.0,A3K7B474OJS7AT
31207,1,1,1,1.0,1.0,A2C39ZAEHBM6SN
31206,0,1,1,0.0,1.0,AR3OPL9QJ3EKS
31828,1,1,1,1.0,1.0,A16JYPYN0JK6JM
31205,0,0,1,0.0,0.0,A3984OZR50VTIN
31829,0,0,1,0.0,0.0,A2TLPUY56DR992
31830,0,0,1,0.0,0.0,A2EPKP31LM1Z5N
31204,1,1,1,1.0,1.0,A2LAY1JRN4GD3K
31203,0,0,1,0.0,0.0,A24ZJVH0LIZ11A
31202,1,1,1,1.0,1.0,A2FPC7K4HKBQFP
31201,0,1,1,0.0,1.0,A33TX5TJS89LR9
98,0,1,1,0.0,1.0,A2LHDT8KO4PK0B
31200,0,0,1,0.0,0.0,A335V74AN72P0B
31199,0,1,1,0.0,1.0,A15Y7ZU4O1D0GZ
31198,0,0,1,0.0,0.0,A1RJTEOX6BJ1OP
31832,0,1,1,0.0,1.0,AXRAZCWI9OCM0
31208,0,1,1,0.0,1.0,AM8HWHNI717U4
31209,0,0,1,0.0,0.0,A6J5R5WQOFPZE
31223,1,1,1,1.0,1.0,A3U799JC6SWN82
31210,0,0,1,0.0,0.0,A10ANI4FVW547Q
31222,0,0,1,0.0,0.0,A2G6OQNZ9RYOYT
193,1,1,1,1.0,1.0,A2KROI4ILOO4JY
31824,1,1,1,1.0,1.0,A32SADKB34SMCH
31220,0,0,1,0.0,0.0,A34IQ6WGP048I6
31219,0,0,1,0.0,0.0,AQZC15SPOD5AF
31218,1,1,1,1.0,1.0,A19JYLHD94K94D
31217,0,0,1,0.0,0.0,A3DB296KJ3TKXZ
31216,1,1,1,1.0,1.0,A30PGZ9KG5MK2U
31215,0,0,1,0.0,0.0,A3M15XFC3Q1F8V
31825,1,1,1,1.0,1.0,A3UDZJ6513EFQF
31826,0,0,1,0.0,0.0,A2Y1ZUS2NIVGE1
31214,1,1,1,1.0,1.0,A2C4ANTWE5QWTL
31213,1,1,1,1.0,1.0,A1Y2J7TK2F78V4
31212,1,1,1,1.0,1.0,A22PZBENWG6IM0
31211,1,1,1,1.0,1.0,A1APPY68SGATBZ
31258,1,1,1,1.0,1.0,AVACAUGF77TR7
31260,0,0,1,0.0,0.0,AU76601D8U0CD
31324,1,1,1,1.0,1.0,A3651FZF8II5I6
31303,1,1,1,1.0,1.0,A3U4HAWV1DMT08
31309,0,1,1,0.0,1.0,A1QQ71SRX4824L
31308,1,1,1,1.0,1.0,A1R279D0B6DGZV
31307,1,1,1,1.0,1.0,A3I3W58XIZ7MEN
31810,1,1,1,1.0,1.0,AJ80WW1T5KJIC
31306,1,1,1,1.0,1.0,A3E5DGFK34PN0B
31305,1,1,1,1.0,1.0,AK3TIZJCYMHWN
31304,0,0,1,0.0,0.0,A3J4OHB5N7VADU
31811,0,1,1,0.0,1.0,A2UTNJUOELBV2G
31261,1,1,1,1.0,1.0,A2L91XT58RR3ZM
